Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.83     0.00  1708238     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end() const
  0.00      0.83     0.00  1344047     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      0.83     0.00  1344047     0.00     0.00  std::__new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      0.83     0.00  1344047     0.00     0.00  std::__new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      0.83     0.00  1343947     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.83     0.00  1343947     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      0.83     0.00  1316154     0.00     0.00  unsigned int* std::__niter_wrap<unsigned int*>(unsigned int* const&, unsigned int*)
  0.00      0.83     0.00  1140864     0.00     0.00  unsigned int* std::__miter_base<unsigned int*>(unsigned int*)
  0.00      0.83     0.00  1128088     0.00     0.00  std::remove_reference<unsigned int*&>::type&& std::move<unsigned int*&>(unsigned int*&)
  0.00      0.83     0.00  1120644     0.00     0.00  std::move_iterator<unsigned int*>::base() const &
  0.00      0.83     0.00  1120644     0.00     0.00  std::move_iterator<unsigned int*>::move_iterator(unsigned int*)
  0.00      0.83     0.00  1120644     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<unsigned int*>(std::move_iterator<unsigned int*>)
  0.00      0.83     0.00  1113200     0.00     0.00  std::move_iterator<unsigned int*> std::__make_move_if_noexcept_iterator<unsigned int, std::move_iterator<unsigned int*> >(unsigned int*)
  0.00      0.83     0.00  1019630     0.00     0.00  BigInteger::~BigInteger()
  0.00      0.83     0.00  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl(std::allocator<unsigned int> const&)
  0.00      0.83     0.00  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00      0.83     0.00  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_create_storage(unsigned long)
  0.00      0.83     0.00  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base(unsigned long, std::allocator<unsigned int> const&)
  0.00      0.83     0.00  1019630     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00      0.83     0.00   887041     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int const, unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.83     0.00   887041     0.00     0.00  unsigned int* std::__copy_move_a1<false, unsigned int const*, unsigned int*>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.83     0.00   887041     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int const*, unsigned int*>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.83     0.00   877068     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.83     0.00   876725     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      0.83     0.00   821131     0.00     0.00  bool __gnu_cxx::operator==<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.83     0.00   821131     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::empty() const
  0.00      0.83     0.00   745722     0.00     0.00  unsigned int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*>(__gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int const*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int*)
